Ticker,Name,Sector,Industry,FIGI
TUSK UW Equity,Mammoth Energy Services Inc,Energy,Energy Equipment & Services,BBG00DR7R3Z2
IOSP UW Equity,Innospec Inc,Materials,Chemicals,BBG000BMFZJ4
ECOM UN Equity,ChannelAdvisor Corp,Information Technology,Software,BBG004FDQ953
IOTS UR Equity,Adesto Technologies Corp,Information Technology,Semiconductors & Semiconductor,BBG00B09NYM1
GLNG UW Equity,Golar LNG Ltd,Energy,"Oil, Gas & Consumable Fuels",BBG000K169V4
GORO UA Equity,Gold Resource Corp,Materials,Metals & Mining,BBG000J0MFT9
ALSN UN Equity,Allison Transmission Holdings Inc,Industrials,Machinery,BBG001KY3881
AGNC UW Equity,AGNC Investment Corp,Financials,Mortgage Real Estate Investmen,BBG000TJ93C7
TLRD UN Equity,Tailored Brands Inc,Consumer Discretionary,Specialty Retail,BBG00C0B4TT9
AOSL UW Equity,Alpha & Omega Semiconductor Ltd,Information Technology,Semiconductors & Semiconductor,BBG000QLW9Y2
GRPN UW Equity,Groupon Inc,Consumer Discretionary,Internet & Direct Marketing Re,BBG001QQGXW6
OBNK UW Equity,Origin Bancorp Inc,Financials,Banks,BBG00KK8G178
MTSI UW Equity,MACOM Technology Solutions Holdings Inc,Information Technology,Semiconductors & Semiconductor,BBG001YF9SP8
CLVS UW Equity,Clovis Oncology Inc,Health Care,Biotechnology,BBG001S2DKJ3
CCO UN Equity,Clear Channel Outdoor Holdings Inc,Communication Services,Media,BBG00NZMF167
STOK UW Equity,Stoke Therapeutics Inc,Health Care,Biotechnology,BBG00P8TXZN3
CDLX UQ Equity,Cardlytics Inc,Communication Services,Media,BBG00JRKCPP8
COHR UW Equity,Coherent Inc,Information Technology,"Electronic Equipment, Instrume",BBG000BG1QF6
FBM UN Equity,Foundation Building Materials Inc,Industrials,Trading Companies & Distributo,BBG00FY3T6N2
HLI UN Equity,Houlihan Lokey Inc,Financials,Capital Markets,BBG009L72FL2
MSBI UW Equity,Midland States Bancorp Inc,Financials,Banks,BBG001PH69X0
ABEO UR Equity,Abeona Therapeutics Inc,Health Care,Biotechnology,BBG000DT5MQ9
MSON UQ Equity,Misonix Inc,Health Care,Health Care Equipment & Suppli,BBG00P5210H4
BZH UN Equity,Beazer Homes USA Inc,Consumer Discretionary,Household Durables,BBG000BDLS76
LNT UW Equity,Alliant Energy Corp,Utilities,Electric Utilities,BBG000DW73F4
HCCI UW Equity,Heritage-Crystal Clean Inc,Industrials,Commercial Services & Supplies,BBG000CCHQR4
WETF UW Equity,WisdomTree Investments Inc,Financials,Capital Markets,BBG000KLG930
CSII UW Equity,Cardiovascular Systems Inc,Health Care,Health Care Equipment & Suppli,BBG000NWQLJ8
HRTX UR Equity,Heron Therapeutics Inc,Health Care,Biotechnology,BBG000G2GS08
GLT UN Equity,PH Glatfelter Co,Materials,Paper & Forest Products,BBG000BKFQ26
ICPT UW Equity,Intercept Pharmaceuticals Inc,Health Care,Biotechnology,BBG003C5FV21
ASTE UW Equity,Astec Industries Inc,Industrials,Machinery,BBG000BCJ8N7
PGTI UN Equity,PGT Innovations Inc,Industrials,Building Products,BBG000FX40C2
PTLA UW Equity,Portola Pharmaceuticals Inc,Health Care,Biotechnology,BBG004FJG6B0
YETI UN Equity,YETI Holdings Inc,Consumer Discretionary,Leisure Products,BBG00D8JC8J0
EPZM UW Equity,Epizyme Inc,Health Care,Biotechnology,BBG004FZSYJ2
ACAD UW Equity,ACADIA Pharmaceuticals Inc,Health Care,Biotechnology,BBG000BHGMW8
KEYS UN Equity,Keysight Technologies Inc,Information Technology,"Electronic Equipment, Instrume",BBG0059FN991
AVNS UN Equity,Avanos Medical Inc,Health Care,Health Care Equipment & Suppli,BBG006G41J34
IBTX UW Equity,Independent Bank Group Inc,Financials,Banks,BBG0046BRJQ1
KE UW Equity,Kimball Electronics Inc,Information Technology,"Electronic Equipment, Instrume",BBG00748ML74
PEGI UW Equity,Pattern Energy Group Inc,Utilities,Independent Power and Renewabl,BBG004Z4HG37
SRPT UW Equity,Sarepta Therapeutics Inc,Health Care,Biotechnology,BBG000BCJC58
NATH UW Equity,Nathan's Famous Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure",BBG000B9ZVG3
CECE UW Equity,CECO Environmental Corp,Industrials,Commercial Services & Supplies,BBG000BFGDJ7
BOOT UN Equity,Boot Barn Holdings Inc,Consumer Discretionary,Specialty Retail,BBG0077SYZZ2
CHMG UW Equity,Chemung Financial Corp,Financials,Banks,BBG000BHQK88
CASH UW Equity,Meta Financial Group Inc,Financials,Thrifts & Mortgage Finance,BBG000BKM3K9
IOVA UQ Equity,Iovance Biotherapeutics Inc,Health Care,Biotechnology,BBG000FTLFR3
TRU UN Equity,TransUnion,Industrials,Professional Services,BBG008FCB177
ITIC UW Equity,Investors Title Co,Financials,Insurance,BBG000BM9Q47
CENT UW Equity,Central Garden & Pet Co,Consumer Staples,Household Products,BBG000BFDGC0
MLAB UW Equity,Mesa Laboratories Inc,Health Care,Health Care Equipment & Suppli,BBG000BP42Y5
GNL UN Equity,Global Net Lease Inc,Real Estate,Equity Real Estate Investment,BBG008P7QD48
BREW UW Equity,Craft Brew Alliance Inc,Consumer Staples,Beverages,BBG000FDR308
UI UN Equity,Ubiquiti Inc,Information Technology,Communications Equipment,BBG001R72SW3
DMRC UW Equity,Digimarc Corp,Information Technology,Software,BBG000G9HKV5
DK UN Equity,Delek US Holdings Inc,Energy,"Oil, Gas & Consumable Fuels",BBG00FZYJDX8
ORBC UW Equity,ORBCOMM Inc,Communication Services,Diversified Telecommunication,BBG000H86SN0
UTMD UW Equity,Utah Medical Products Inc,Health Care,Health Care Equipment & Suppli,BBG000HFH6D1
ADUS UW Equity,Addus HomeCare Corp,Health Care,Health Care Providers & Servic,BBG000NJKB87
TREE UW Equity,LendingTree Inc,Financials,Thrifts & Mortgage Finance,BBG000TVRHK0
FRAF UR Equity,Franklin Financial Services Corp,Financials,Banks,BBG000BS57C1
