Ticker,Name,Sector,Industry,FIGI
SDRL UN Equity,Seadrill Ltd,Energy,Energy Equipment & Services,BBG00LBLD3K1
AA UN Equity,Alcoa Corp,Materials,Metals & Mining,BBG00B3T3HK5
INO UW Equity,Inovio Pharmaceuticals Inc,Health Care,Biotechnology,BBG000BK7763
AXP UN Equity,American Express Co,Financials,Consumer Finance,BBG000BCR153
VZ UN Equity,Verizon Communications Inc,Communication Services,Diversified Telecommunication,BBG000HS79Q4
SPWH UW Equity,Sportsman's Warehouse Holdings Inc,Consumer Discretionary,Specialty Retail,BBG006475XK6
BA UN Equity,Boeing Co/The,Industrials,Aerospace & Defense,BBG000BCSV38
SABR UW Equity,Sabre Corp,Information Technology,IT Services,BBG005WQVZ21
PEP UW Equity,PepsiCo Inc,Consumer Staples,Beverages,BBG000DH7TN1
CAT UN Equity,Caterpillar Inc,Industrials,Machinery,BBG000BF0LJ6
JPM UN Equity,JPMorgan Chase & Co,Financials,Banks,BBG000DMBZW1
CVX UN Equity,Chevron Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000K4NHJ5
APYX UW Equity,Apyx Medical Corp,Health Care,Health Care Equipment & Suppli,BBG000F4CKQ8
KO UN Equity,Coca-Cola Co/The,Consumer Staples,Beverages,BBG000BMX4N8
DIS UN Equity,Walt Disney Co/The,Communication Services,Entertainment,BBG000BH4SB1
AFMD UQ Equity,Affimed NV,Health Care,Biotechnology,BBG006R5STM7
XOM UN Equity,Exxon Mobil Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000GZQBJ1
GE UN Equity,General Electric Co,Industrials,Industrial Conglomerates,BBG000BK6PH2
HPQ UN Equity,HP Inc,Information Technology,"Technology Hardware, Storage &",BBG000KHWXF5
FC UN Equity,Franklin Covey Co,Industrials,Professional Services,BBG000FCZQJ0
HD UN Equity,Home Depot Inc/The,Consumer Discretionary,Specialty Retail,BBG000BKZDM1
IBM UN Equity,International Business Machines Corp,Information Technology,IT Services,BBG000BLNQ16
GO UW Equity,Grocery Outlet Holding Corp,Consumer Staples,Food & Staples Retailing,BBG00P4R30S6
JNJ UN Equity,Johnson & Johnson,Health Care,Pharmaceuticals,BBG000BMHZY5
PSNL UQ Equity,Personalis Inc,Health Care,Life Sciences Tools & Services,BBG00P8TYQJ7
MCD UN Equity,McDonald's Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure",BBG000BNT1L9
RPD UQ Equity,Rapid7 Inc,Information Technology,Software,BBG009DFHWP6
PRVL UQ Equity,Prevail Therapeutics Inc,Health Care,Biotechnology,BBG00P92PQJ5
MRK UN Equity,Merck & Co Inc,Health Care,Pharmaceuticals,BBG000BPD257
BCEL UW Equity,Atreca Inc,Health Care,Biotechnology,BBG00P96JT61
MMM UN Equity,3M Co,Industrials,Industrial Conglomerates,BBG000BP5522
BAC UN Equity,Bank of America Corp,Financials,Banks,BBG000BCTN44
AKRO UW Equity,Akero Therapeutics Inc,Health Care,Biotechnology,BBG00PDMC2J3
PFE UN Equity,Pfizer Inc,Health Care,Pharmaceuticals,BBG000BR2F10
PG UN Equity,Procter & Gamble Co/The,Consumer Staples,Household Products,BBG000BR2WS4
T UN Equity,AT&T Inc,Communication Services,Diversified Telecommunication,BBG000BSJLV4
TRV UN Equity,Travelers Cos Inc/The,Financials,Insurance,BBG000BJ82Q4
UTX UN Equity,United Technologies Corp,Industrials,Aerospace & Defense,BBG000BW8TX8
WMT UN Equity,Walmart Inc,Consumer Staples,Food & Staples Retailing,BBG000BWXCP6
CSCO UW Equity,Cisco Systems Inc,Information Technology,Communications Equipment,BBG000C3JBN9
INTC UW Equity,Intel Corp,Information Technology,Semiconductors & Semiconductor,BBG000C0GFS4
MSFT UW Equity,Microsoft Corp,Information Technology,Software,BBG000BPHFS9
SAM UN Equity,Boston Beer Co Inc/The,Consumer Staples,Beverages,BBG000BCZFG1
C UN Equity,Citigroup Inc,Financials,Banks,BBG000FY4VG8
AIG UN Equity,American International Group Inc,Financials,Insurance,BBG000BBF265
HON UN Equity,Honeywell International Inc,Industrials,Industrial Conglomerates,BBG000H559K2
EFC UN Equity,Ellington Financial Inc,Financials,Mortgage Real Estate Investmen,BBG000M1KG40
MO UN Equity,Altria Group Inc,Consumer Staples,Tobacco,BBG000BP6MW1
CLPR UN Equity,Clipper Realty Inc,Real Estate,Equity Real Estate Investment,BBG00FY0CZW2
IP UN Equity,International Paper Co,Materials,Containers & Packaging,BBG000BM5V31
ABT UN Equity,Abbott Laboratories,Health Care,Health Care Equipment & Suppli,BBG000B9ZZG4
AFL UN Equity,Aflac Inc,Financials,Insurance,BBG000BBBRC7
APD UN Equity,Air Products & Chemicals Inc,Materials,Chemicals,BBG000BC4LR0
GMED UN Equity,Globus Medical Inc,Health Care,Health Care Equipment & Suppli,BBG002V87SJ4
AEP UN Equity,American Electric Power Co Inc,Utilities,Electric Utilities,BBG000BB9NG5
RETA UQ Equity,Reata Pharmaceuticals Inc,Health Care,Pharmaceuticals,BBG00BT7PTC4
HES UN Equity,Hess Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000BBD2Z5
AON UN Equity,Aon PLC,Financials,Insurance,BBG000BC17L0
APA UN Equity,Apache Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000BC2FG7
ADM UN Equity,Archer-Daniels-Midland Co,Consumer Staples,Food Products,BBG000BB7059
ADP UW Equity,Automatic Data Processing Inc,Information Technology,IT Services,BBG000JG1MT2
AZO UN Equity,AutoZone Inc,Consumer Discretionary,Specialty Retail,BBG000C7MR60
AVY UN Equity,Avery Dennison Corp,Materials,Containers & Packaging,BBG000BCQ742
VRSK UW Equity,Verisk Analytics Inc,Industrials,Professional Services,BBG000BCZX09
BLL UN Equity,Ball Corp,Materials,Containers & Packaging,BBG000BDDPK6
MBIO UQ Equity,Mustang Bio Inc,Health Care,Biotechnology,BBG00HJ90HS4
BK UN Equity,Bank of New York Mellon Corp/The,Financials,Capital Markets,BBG000BD8QV8
BAX UN Equity,Baxter International Inc,Health Care,Health Care Equipment & Suppli,BBG000BCVLK7
BDX UN Equity,Becton Dickinson and Co,Health Care,Health Care Equipment & Suppli,BBG000BD00Y0
BRK/B UN Equity,Berkshire Hathaway Inc,Financials,Diversified Financial Services,BBG000DWH8Q0
BBY UN Equity,Best Buy Co Inc,Consumer Discretionary,Specialty Retail,BBG000BCWFH3
HRB UN Equity,H&R Block Inc,Consumer Discretionary,Diversified Consumer Services,BBG000BLDXM9
BSX UN Equity,Boston Scientific Corp,Health Care,Health Care Equipment & Suppli,BBG000C0LY07
ZTS UN Equity,Zoetis Inc,Health Care,Pharmaceuticals,BBG003932MF0
BMY UN Equity,Bristol-Myers Squibb Co,Health Care,Pharmaceuticals,BBG000DQLWT2
BF/B UN Equity,Brown-Forman Corp,Consumer Staples,Beverages,BBG000BD2QH0
COG UN Equity,Cabot Oil & Gas Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000C3GR48
CPB UN Equity,Campbell Soup Co,Consumer Staples,Food Products,BBG000BG44X2
CCL UN Equity,Carnival Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure",BBG000BF6PR2
CTL UN Equity,CenturyLink Inc,Communication Services,Diversified Telecommunication,BBG000BGLXZ7
FTR UW Equity,Frontier Communications Corp,Communication Services,Diversified Telecommunication,BBG000FH8K48
BPRN UW Equity,Bank of Princeton/The,Financials,Banks,BBG00CXM0LX5
CLF UN Equity,Cleveland-Cliffs Inc,Materials,Metals & Mining,BBG000BFRH97
CLX UN Equity,Clorox Co/The,Consumer Staples,Household Products,BBG000BFS949
CMS UN Equity,CMS Energy Corp,Utilities,Multi-Utilities,BBG000BFVZB9
CEIX UN Equity,CONSOL Energy Inc,Energy,"Oil, Gas & Consumable Fuels",BBG00HC11503
CL UN Equity,Colgate-Palmolive Co,Consumer Staples,Household Products,BBG000BFR0Y6
CMA UN Equity,Comerica Inc,Financials,Banks,BBG000C75Q34
CAG UN Equity,Conagra Brands Inc,Consumer Staples,Food Products,BBG000BDXHW9
ED UN Equity,Consolidated Edison Inc,Utilities,Multi-Utilities,BBG000BHM0P7
BIG UN Equity,Big Lots Inc,Consumer Discretionary,Multiline Retail,BBG000J0DCQ9
GLW UN Equity,Corning Inc,Information Technology,"Electronic Equipment, Instrume",BBG000BKG0Z6
CMI UN Equity,Cummins Inc,Industrials,Machinery,BBG000BGPXY4
DHR UN Equity,Danaher Corp,Health Care,Health Care Equipment & Suppli,BBG000BH3LR0
TGT UN Equity,Target Corp,Consumer Discretionary,Multiline Retail,BBG000H8TYR8
DE UN Equity,Deere & Co,Industrials,Machinery,BBG000BH1QM6
D UN Equity,Dominion Energy Inc,Utilities,Multi-Utilities,BBG000BGVYS2
DOV UN Equity,Dover Corp,Industrials,Machinery,BBG000BHB4Z0
DUK UN Equity,Duke Energy Corp,Utilities,Electric Utilities,BBG000BHGGD2
ETN UN Equity,Eaton Corp PLC,Industrials,Electrical Equipment,BBG000BJ3QG7
ECL UN Equity,Ecolab Inc,Materials,Chemicals,BBG000BHL0C2
UIHC UR Equity,United Insurance Holdings Corp,Financials,Insurance,BBG000TKFMX2
PKI UN Equity,PerkinElmer Inc,Health Care,Life Sciences Tools & Services,BBG000FXX8N1
EMR UN Equity,Emerson Electric Co,Industrials,Electrical Equipment,BBG000BHXD68
EOG UN Equity,EOG Resources Inc,Energy,"Oil, Gas & Consumable Fuels",BBG000BZ9367
ETR UN Equity,Entergy Corp,Utilities,Electric Utilities,BBG000C1FSD1
EFX UN Equity,Equifax Inc,Industrials,Professional Services,BBG000BHPNZ3
EQT UN Equity,EQT Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000BHZ8B1
FDX UN Equity,FedEx Corp,Industrials,Air Freight & Logistics,BBG000BJF3F6
M UN Equity,Macy's Inc,Consumer Discretionary,Multiline Retail,BBG000C46L95
FMC UN Equity,FMC Corp,Materials,Chemicals,BBG000BJPBC0
F UN Equity,Ford Motor Co,Consumer Discretionary,Automobiles,BBG000BQPFG1
LNTH UQ Equity,Lantheus Holdings Inc,Health Care,Health Care Equipment & Suppli,BBG006Q52RM0
NEE UN Equity,NextEra Energy Inc,Utilities,Electric Utilities,BBG000BJSF01
BEN UN Equity,Franklin Resources Inc,Financials,Capital Markets,BBG000BD0WB5
HASI UN Equity,Hannon Armstrong Sustainable Infrastruct,Real Estate,Equity Real Estate Investment,BBG0044K5FQ5
PRPL UR Equity,Purple Innovation Inc,Consumer Discretionary,Household Durables,BBG009S7FX96
FCX UN Equity,Freeport-McMoRan Inc,Materials,Metals & Mining,BBG000BJDCQ6
I UN Equity,Intelsat SA,Communication Services,Diversified Telecommunication,BBG002ZY3WH0
MYOK UW Equity,MyoKardia Inc,Health Care,Pharmaceuticals,BBG00B3TPTZ9
TGNA UN Equity,TEGNA Inc,Communication Services,Media,BBG000BK5H18
GPS UN Equity,Gap Inc/The,Consumer Discretionary,Specialty Retail,BBG000BKLK68
VALU UR Equity,Value Line Inc,Financials,Capital Markets,BBG000BWBRT3
GD UN Equity,General Dynamics Corp,Industrials,Aerospace & Defense,BBG000BK69Z8
GIS UN Equity,General Mills Inc,Consumer Staples,Food Products,BBG000BKCHJ1
CELH UR Equity,Celsius Holdings Inc,Consumer Staples,Beverages,BBG000NY3G19
GPC UN Equity,Genuine Parts Co,Consumer Discretionary,Distributors,BBG000BKL4C7
GWW UN Equity,WW Grainger Inc,Industrials,Trading Companies & Distributo,BBG000BKR342
HAL UN Equity,Halliburton Co,Energy,Energy Equipment & Services,BBG000BKTJ63
HOG UN Equity,Harley-Davidson Inc,Consumer Discretionary,Automobiles,BBG000BKZWW8
LHX UN Equity,L3Harris Technologies Inc,Industrials,Aerospace & Defense,BBG000BLGHH7
PEAK UN Equity,Healthpeak Properties Inc,Real Estate,Equity Real Estate Investment,BBG000BKYGV5
HP UN Equity,Helmerich & Payne Inc,Energy,Energy Equipment & Services,BBG000BLCRT6
HSY UN Equity,Hershey Co/The,Consumer Staples,Food Products,BBG000BLHVZ5
HRL UN Equity,Hormel Foods Corp,Consumer Staples,Food Products,BBG000BLFBK7
CNP UN Equity,CenterPoint Energy Inc,Utilities,Multi-Utilities,BBG000FDC0R1
HUM UN Equity,Humana Inc,Health Care,Health Care Providers & Servic,BBG000BLKM81
ITW UN Equity,Illinois Tool Works Inc,Industrials,Machinery,BBG000BMBNV1
IR UN Equity,Ingersoll-Rand PLC,Industrials,Machinery,BBG000BM6966
IPG UN Equity,Interpublic Group of Cos Inc/The,Communication Services,Media,BBG000C90HC5
IFF UN Equity,International Flavors & Fragrances Inc,Materials,Chemicals,BBG000BLSM65
J UN Equity,Jacobs Engineering Group Inc,Industrials,Construction & Engineering,BBG000BMFK43
CSTE UW Equity,Caesarstone Ltd,Industrials,Building Products,BBG002NJVNB1
K UN Equity,Kellogg Co,Consumer Staples,Food Products,BBG000BMKH35
KMB UN Equity,Kimberly-Clark Corp,Consumer Staples,Household Products,BBG000BMW672
KIM UN Equity,Kimco Realty Corp,Real Estate,Equity Real Estate Investment,BBG000CN3V94
KSS UN Equity,Kohl's Corp,Consumer Discretionary,Multiline Retail,BBG000CS8H44
KR UN Equity,Kroger Co/The,Consumer Staples,Food & Staples Retailing,BBG000BMYBX0
LM UN Equity,Legg Mason Inc,Financials,Capital Markets,BBG000BNBS02
LEG UN Equity,Leggett & Platt Inc,Consumer Discretionary,Household Durables,BBG000BN55D5
LEN UN Equity,Lennar Corp,Consumer Discretionary,Household Durables,BBG000BN5KN1
JEF UN Equity,Jefferies Financial Group Inc,Financials,Diversified Financial Services,BBG000BNHV54
GRC UN Equity,Gorman-Rupp Co/The,Industrials,Machinery,BBG000BKN364
LLY UN Equity,Eli Lilly & Co,Health Care,Pharmaceuticals,BBG000BNBG44
MCFT UQ Equity,MasterCraft Boat Holdings Inc,Consumer Discretionary,Leisure Products,BBG008MPPR23
LB UN Equity,L Brands Inc,Consumer Discretionary,Specialty Retail,BBG000BNGW17
LNC UN Equity,Lincoln National Corp,Financials,Insurance,BBG000BNC5M7
L UN Equity,Loews Corp,Financials,Insurance,BBG000C45D49
LOW UN Equity,Lowe's Cos Inc,Consumer Discretionary,Specialty Retail,BBG000BNDQS4
ORCL UN Equity,Oracle Corp,Information Technology,Software,BBG000BQLY10
MAXR UN Equity,Maxar Technologies Inc,Industrials,Aerospace & Defense,BBG00MT708G9
HST UN Equity,Host Hotels & Resorts Inc,Real Estate,Equity Real Estate Investment,BBG000BL89K0
MMC UN Equity,Marsh & McLennan Cos Inc,Financials,Insurance,BBG000BP4P74
MAS UN Equity,Masco Corp,Industrials,Building Products,BBG000BNNM75
MAT UW Equity,Mattel Inc,Consumer Discretionary,Leisure Products,BBG000BNP6W0
SPGI UN Equity,S&P Global Inc,Financials,Capital Markets,BBG000BP1RM6
MDT UN Equity,Medtronic PLC,Health Care,Health Care Equipment & Suppli,BBG000BNWJ36
CVS UN Equity,CVS Health Corp,Health Care,Health Care Providers & Servic,BBG000BGRZP7
MU UW Equity,Micron Technology Inc,Information Technology,Semiconductors & Semiconductor,BBG000C60FN3
MSI UN Equity,Motorola Solutions Inc,Information Technology,Communications Equipment,BBG000BP9038
MUR UN Equity,Murphy Oil Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000BPMLC7
MYL UW Equity,Mylan NV,Health Care,Pharmaceuticals,BBG000BPQMX8
LH UN Equity,Laboratory Corp of America Holdings,Health Care,Health Care Providers & Servic,BBG000D9DP78
THC UN Equity,Tenet Healthcare Corp,Health Care,Health Care Providers & Servic,BBG000CPJ107
NEM UN Equity,Newmont Corp,Materials,Metals & Mining,BBG000BPWYG4
BFST UW Equity,Business First Bancshares Inc,Financials,Banks,BBG00KK07157
NKE UN Equity,NIKE Inc,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",BBG000C5HTN7
NI UN Equity,NiSource Inc,Utilities,Multi-Utilities,BBG000BPZDS4
NSC UN Equity,Norfolk Southern Corp,Industrials,Road & Rail,BBG000BQ5GM4
ES UN Equity,Eversource Energy,Utilities,Electric Utilities,BBG000BQ8910
NOC UN Equity,Northrop Grumman Corp,Industrials,Aerospace & Defense,BBG000BQ2F03
WFC UN Equity,Wells Fargo & Co,Financials,Banks,BBG000BWQHB8
AI UN Equity,Arlington Asset Investment Corp,Financials,Mortgage Real Estate Investmen,BBG000BD1649
HPE UN Equity,Hewlett Packard Enterprise Co,Information Technology,"Technology Hardware, Storage &",BBG0078W8097
NUE UN Equity,Nucor Corp,Materials,Metals & Mining,BBG000BQ8MY5
OXY UN Equity,Occidental Petroleum Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000BQQ4P5
OMC UN Equity,Omnicom Group Inc,Communication Services,Media,BBG000BS95R5
OKE UN Equity,ONEOK Inc,Energy,"Oil, Gas & Consumable Fuels",BBG000BQHJ81
QGEN UN Equity,QIAGEN NV,Health Care,Life Sciences Tools & Services,BBG000GTZ0C6
PCG UN Equity,PG&E Corp,Utilities,Electric Utilities,BBG000BQWSK0
PH UN Equity,Parker-Hannifin Corp,Industrials,Machinery,BBG000BR3N30
PPL UN Equity,PPL Corp,Utilities,Electric Utilities,BBG000BRJP74
JCP UN Equity,JC Penney Co Inc,Consumer Discretionary,Multiline Retail,BBG000BMF742
COP UN Equity,ConocoPhillips,Energy,"Oil, Gas & Consumable Fuels",BBG000BQQJR0
PHM UN Equity,PulteGroup Inc,Consumer Discretionary,Household Durables,BBG000BR5699
PNW UN Equity,Pinnacle West Capital Corp,Utilities,Electric Utilities,BBG000BRDVJ4
PBI UN Equity,Pitney Bowes Inc,Industrials,Commercial Services & Supplies,BBG000BQTPS2
QTWO UN Equity,Q2 Holdings Inc,Information Technology,Software,BBG005ZVK9V5
XBIT UW Equity,XBiotech Inc,Health Care,Biotechnology,BBG0081S8DS2
PNC UN Equity,PNC Financial Services Group Inc/The,Financials,Banks,BBG000BRD2F2
AKBA UQ Equity,Akebia Therapeutics Inc,Health Care,Biotechnology,BBG0060CP2Q9
PPG UN Equity,PPG Industries Inc,Materials,Chemicals,BBG000BRJ952
BKR UN Equity,Baker Hughes Co,Energy,Energy Equipment & Services,BBG00GCRFYF4
PGR UN Equity,Progressive Corp/The,Financials,Insurance,BBG000BR39M0
PEG UN Equity,Public Service Enterprise Group Inc,Utilities,Multi-Utilities,BBG000BQZP41
RTN UN Equity,Raytheon Co,Industrials,Aerospace & Defense,BBG000BSD956
RHI UN Equity,Robert Half International Inc,Industrials,Professional Services,BBG000BS5GM0
ALTR UW Equity,Altair Engineering Inc,Information Technology,Software,BBG00HVQCJ50
R UN Equity,Ryder System Inc,Industrials,Road & Rail,BBG000BRVRS3
EIX UN Equity,Edison International,Utilities,Electric Utilities,BBG000D7RMQ3
SLB UN Equity,Schlumberger Ltd,Energy,Energy Equipment & Services,BBG000BT4384
SCHW UN Equity,Charles Schwab Corp/The,Financials,Capital Markets,BBG000BSM368
SHW UN Equity,Sherwin-Williams Co/The,Materials,Chemicals,BBG000BSXT78
SJM UN Equity,JM Smucker Co/The,Consumer Staples,Food Products,BBG000BT1984
SNA UN Equity,Snap-on Inc,Industrials,Machinery,BBG000BT7MD3
SO UN Equity,Southern Co/The,Utilities,Electric Utilities,BBG000BT9GG1
TFC UN Equity,Truist Financial Corp,Financials,Banks,BBG000BYYNN9
LUV UN Equity,Southwest Airlines Co,Industrials,Airlines,BBG000BNJK47
SWN UN Equity,Southwestern Energy Co,Energy,"Oil, Gas & Consumable Fuels",BBG000BTR6N5
SWK UN Equity,Stanley Black & Decker Inc,Industrials,Machinery,BBG000BTQTG4
WRB UN Equity,WR Berkley Corp,Financials,Insurance,BBG000BD1KV8
PSA UN Equity,Public Storage,Real Estate,Equity Real Estate Investment,BBG000BPPPX2
CODA UR Equity,Coda Octopus Group Inc,Information Technology,"Electronic Equipment, Instrume",BBG000C3PGJ6
GH UW Equity,Guardant Health Inc,Health Care,Health Care Providers & Servic,BBG00LXPDX04
SYY UN Equity,Sysco Corp,Consumer Staples,Food & Staples Retailing,BBG000BTVL39
TXN UW Equity,Texas Instruments Inc,Information Technology,Semiconductors & Semiconductor,BBG000BVVPD4
TXT UN Equity,Textron Inc,Industrials,Aerospace & Defense,BBG000BVVSX6
TMO UN Equity,Thermo Fisher Scientific Inc,Health Care,Life Sciences Tools & Services,BBG000BVDPD4
KOD UQ Equity,Kodiak Sciences Inc,Health Care,Biotechnology,BBG00LY1F6X7
TIF UN Equity,Tiffany & Co,Consumer Discretionary,Specialty Retail,BBG000BV7723
TJX UN Equity,TJX Cos Inc/The,Consumer Discretionary,Specialty Retail,BBG000BV8G95
GL UN Equity,Globe Life Inc,Financials,Insurance,BBG000BVD9G7
JCI UN Equity,Johnson Controls International plc,Industrials,Building Products,BBG000BVWMZ6
VNCE UN Equity,Vince Holding Corp,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",BBG005BPGN66
UNP UN Equity,Union Pacific Corp,Industrials,Road & Rail,BBG000BW3413
UNH UN Equity,UnitedHealth Group Inc,Health Care,Health Care Providers & Servic,BBG000CH53T5
UNM UN Equity,Unum Group,Financials,Insurance,BBG000BW2T82
MRO UN Equity,Marathon Oil Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000C8H839
X UN Equity,United States Steel Corp,Materials,Metals & Mining,BBG000BX3W91
VAR UN Equity,Varian Medical Systems Inc,Health Care,Health Care Equipment & Suppli,BBG000BWC1M6
VTR UN Equity,Ventas Inc,Real Estate,Equity Real Estate Investment,BBG000FRVM00
VFC UN Equity,VF Corp,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",BBG000BWCLX0
VNO UN Equity,Vornado Realty Trust,Real Estate,Equity Real Estate Investment,BBG000BWHH82
VMC UN Equity,Vulcan Materials Co,Materials,Construction Materials,BBG000BWH016
AMRC UN Equity,Ameresco Inc,Industrials,Construction & Engineering,BBG000BD1SQ7
WRTC UR Equity,Wrap Technologies Inc,Information Technology,"Electronic Equipment, Instrume",BBG00HFMGMZ3
GHC UN Equity,Graham Holdings Co,Consumer Discretionary,Diversified Consumer Services,BBG000C3FJS1
WY UN Equity,Weyerhaeuser Co,Real Estate,Equity Real Estate Investment,BBG000BX3GC2
WHR UN Equity,Whirlpool Corp,Consumer Discretionary,Household Durables,BBG000BWSW50
WMB UN Equity,Williams Cos Inc/The,Energy,"Oil, Gas & Consumable Fuels",BBG000BWVH31
WEC UN Equity,WEC Energy Group Inc,Utilities,Multi-Utilities,BBG000BWP918
ADBE UW Equity,Adobe Inc,Information Technology,Software,BBG000BB5BP5
AES UN Equity,AES Corp/VA,Utilities,Independent Power and Renewabl,BBG000C23NG0
AMGN UW Equity,Amgen Inc,Health Care,Biotechnology,BBG000BBSCX9
AAPL UW Equity,Apple Inc,Information Technology,"Technology Hardware, Storage &",BBG000B9Y5X2
ADSK UW Equity,Autodesk Inc,Information Technology,Software,BBG000BM7TD3
CTAS UW Equity,Cintas Corp,Industrials,Commercial Services & Supplies,BBG000H40GL3
ESTC UN Equity,Elastic NV,Information Technology,Software,BBG00LWZDYG4
CMCSA UW Equity,Comcast Corp,Communication Services,Media,BBG000BFTG15
TAP UN Equity,Molson Coors Beverage Co,Consumer Staples,Beverages,BBG000BS7MP2
KLAC UW Equity,KLA Corp,Information Technology,Semiconductors & Semiconductor,BBG000BMTSQ7
MKC UN Equity,McCormick & Co Inc/MD,Consumer Staples,Food Products,BBG000G6Y8G6
JWN UN Equity,Nordstrom Inc,Consumer Discretionary,Multiline Retail,BBG000G8NDS0
PCAR UW Equity,PACCAR Inc,Industrials,Machinery,BBG000BQW5S2
MOD UN Equity,Modine Manufacturing Co,Consumer Discretionary,Auto Components,BBG000BP7F64
COST UW Equity,Costco Wholesale Corp,Consumer Staples,Food & Staples Retailing,BBG000F6HLL1
GKOS UN Equity,Glaukos Corp,Health Care,Health Care Equipment & Suppli,BBG008NZ7B25
GALT UR Equity,Galectin Therapeutics Inc,Health Care,Biotechnology,BBG000BK6MR8
SYK UN Equity,Stryker Corp,Health Care,Health Care Equipment & Suppli,BBG000DN7RP0
TSN UN Equity,Tyson Foods Inc,Consumer Staples,Food Products,BBG000DKCFD9
AMAT UW Equity,Applied Materials Inc,Information Technology,Semiconductors & Semiconductor,BBG000BBPST2
BBBY UW Equity,Bed Bath & Beyond Inc,Consumer Discretionary,Specialty Retail,BBG000CSZQZ0
CAH UN Equity,Cardinal Health Inc,Health Care,Health Care Providers & Servic,BBG000D89CS1
MTZ UN Equity,MasTec Inc,Industrials,Construction & Engineering,BBG000DYXF73
CERN UW Equity,Cerner Corp,Health Care,Health Care Technology,BBG000BFDXQ8
CINF UW Equity,Cincinnati Financial Corp,Financials,Insurance,BBG000BFPVV3
VIR UW Equity,Vir Biotechnology Inc,Health Care,Biotechnology,BBG00Q5FZ969
WLTW UW Equity,Willis Towers Watson PLC,Financials,Insurance,BBG000DB3XL1
HBT UW Equity,HBT Financial Inc,Financials,Banks,BBG00Q8J7326
DHI UN Equity,DR Horton Inc,Consumer Discretionary,Household Durables,BBG000DQTZG1
FLS UN Equity,Flowserve Corp,Industrials,Machinery,BBG000FFH7Y8
ATGE UN Equity,Adtalem Global Education Inc,Consumer Discretionary,Diversified Consumer Services,BBG000DQC147
EA UW Equity,Electronic Arts Inc,Communication Services,Entertainment,BBG000BP0WH2
EXPD UW Equity,Expeditors International of Washington I,Industrials,Air Freight & Logistics,BBG000BJ5RP3
SEAS UN Equity,SeaWorld Entertainment Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure",BBG003RYCC36
FAST UW Equity,Fastenal Co,Industrials,Trading Companies & Distributo,BBG000BJ96W7
MTB UN Equity,M&T Bank Corp,Financials,Banks,BBG000D9KZ32
FISV UW Equity,Fiserv Inc,Information Technology,IT Services,BBG000BJL0P4
FITB UW Equity,Fifth Third Bancorp,Financials,Banks,BBG000BJLCJ5
ITRI UW Equity,Itron Inc,Information Technology,"Electronic Equipment, Instrume",BBG000BD2CV5
FHN UN Equity,First Horizon National Corp,Financials,Banks,BBG000GJ0XT6
BF/A UN Equity,Brown-Forman Corp,Consumer Staples,Beverages,BBG000BD2DS7
AXDX UR Equity,Accelerate Diagnostics Inc,Health Care,Life Sciences Tools & Services,BBG000CDWSY3
GILD UW Equity,Gilead Sciences Inc,Health Care,Biotechnology,BBG000CKHQT4
HAS UW Equity,Hasbro Inc,Consumer Discretionary,Leisure Products,BBG000BKVWG0
HBAN UW Equity,Huntington Bancshares Inc/OH,Financials,Banks,BBG000BKX3B7
WELL UN Equity,Welltower Inc,Real Estate,Equity Real Estate Investment,BBG000BKY3S8
BIIB UW Equity,Biogen Inc,Health Care,Biotechnology,BBG000C18861
RRC UN Equity,Range Resources Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000FVXGF6
NBR UN Equity,Nabors Industries Ltd,Energy,Energy Equipment & Services,BBG000BZTXK3
NE UN Equity,Noble Corp plc,Energy,Energy Equipment & Services,BBG000DTMLC7
NTRS UW Equity,Northern Trust Corp,Financials,Capital Markets,BBG000BQ7GH8
PAYX UW Equity,Paychex Inc,Information Technology,IT Services,BBG000BQT1J5
PBCT UW Equity,People's United Financial Inc,Financials,Banks,BBG000BQTJH8
CATS UR Equity,Catasys Inc,Health Care,Health Care Providers & Servic,BBG000DPHDJ2
PDCO UW Equity,Patterson Cos Inc,Health Care,Health Care Providers & Servic,BBG000BQYC69
QCOM UW Equity,QUALCOMM Inc,Information Technology,Semiconductors & Semiconductor,BBG000CGCDW3
ESXB UR Equity,Community Bankers Trust Corp,Financials,Banks,BBG000C4QCX6
ROP UN Equity,Roper Technologies Inc,Industrials,Industrial Conglomerates,BBG000F20X23
ROST UW Equity,Ross Stores Inc,Consumer Discretionary,Specialty Retail,BBG000BSC9R3
VRTS UW Equity,Virtus Investment Partners Inc,Financials,Capital Markets,BBG000DMH276
